"lead_id","region","industry","rfm_score","preferences_json","last_updated_at"
"L0000637","EU","EdTech","0.1","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Call""], ""interests"": [""roadmap""]}","2025-05-07T10:18:11"
"L0000638","APAC","E‑commerce","0.312","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""roadmap"", ""security""]}","2025-07-22T16:47:49"
"L0000639","APAC","Media","0.145","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Ads""], ""interests"": [""pricing"", ""roadmap""]}","2025-05-28T13:39:55"
"L0000640","India","Media","0.918","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads""], ""interests"": [""pricing"", ""roadmap"", ""roi""]}","2025-08-11T06:29:33"
"L0000642","MEA","SaaS","0.139","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email""], ""interests"": [""integration""]}","2025-07-18T00:27:09"
"L0000644","EU","Media","0.733","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS"", ""Social""], ""interests"": [""security"", ""roi"", ""pricing""]}","2025-08-27T03:32:07"
"L0000645","US","HealthTech","0.935","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""roadmap""]}","2025-08-08T22:24:26"
"L0000647","India","EdTech","0.781","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""Email""], ""interests"": [""roadmap"", ""roi"", ""case_studies""]}","2025-07-28T08:19:36"
"L0000648","LATAM","Manufacturing","0.632","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Social""], ""interests"": [""security""]}","2025-06-25T13:24:38"
"L0000650","EU","HealthTech","0.991","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""Web""], ""interests"": [""roadmap"", ""case_studies"", ""security""]}","2025-08-23T19:49:43"
"L0000651","MEA","E‑commerce","0.314","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web""], ""interests"": [""roi"", ""pricing""]}","2025-08-28T19:37:48"
"L0000653","US","FinTech","0.143","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""case_studies"", ""roadmap""]}","2025-08-10T01:38:19"
"L0000656","EU","Manufacturing","0.521","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roi"", ""roadmap""]}","2025-08-06T15:01:43"
"L0000657","MEA","Media","0.732","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social"", ""Web""], ""interests"": [""security"", ""case_studies"", ""roadmap""]}","2025-08-20T21:24:54"
"L0000658","US","HealthTech","0.45","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social""], ""interests"": [""security""]}","2025-07-10T03:35:50"
"L0000659","US","E‑commerce","0.313","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads""], ""interests"": [""security""]}","2025-08-28T00:50:34"
"L0000661","US","EdTech","0.593","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social""], ""interests"": [""roi""]}","2025-05-25T08:59:39"
"L0000664","MEA","Retail","0.807","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""Ads""], ""interests"": [""roi"", ""pricing"", ""roadmap""]}","2025-07-10T00:57:47"
"L0000665","India","FinTech","0.671","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads"", ""Social""], ""interests"": [""case_studies"", ""integration""]}","2025-07-28T06:28:05"
"L0000667","EU","Retail","0.451","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social""], ""interests"": [""security"", ""roi"", ""pricing""]}","2025-06-26T22:50:54"
"L0000669","LATAM","Retail","0.648","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call"", ""Social""], ""interests"": [""pricing"", ""security""]}","2025-07-22T00:53:28"
"L0000670","APAC","Retail","0.034","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""integration""]}","2025-05-19T14:23:42"
"L0000672","India","Retail","0.216","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""roadmap""]}","2025-06-19T14:56:53"
"L0000679","APAC","FinTech","0.183","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads""], ""interests"": [""roadmap"", ""security"", ""roi""]}","2025-07-16T16:10:19"
"L0000681","India","E‑commerce","0.963","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social""], ""interests"": [""roi""]}","2025-08-19T09:15:56"
"L0000684","India","Manufacturing","0.864","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social"", ""Web""], ""interests"": [""pricing""]}","2025-08-02T22:43:44"
"L0000687","MEA","Manufacturing","0.169","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""roadmap""]}","2025-08-12T02:05:19"
"L0000688","MEA","Retail","0.211","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roadmap"", ""roi"", ""pricing""]}","2025-07-26T13:09:34"
"L0000689","APAC","HealthTech","0.509","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email"", ""Call""], ""interests"": [""roi"", ""case_studies""]}","2025-07-31T19:08:08"
"L0000691","LATAM","FinTech","0.965","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""Ads""], ""interests"": [""integration"", ""pricing""]}","2025-07-03T06:13:29"
"L0000692","APAC","HealthTech","0.735","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads""], ""interests"": [""security"", ""integration"", ""roi""]}","2025-08-10T09:20:25"
"L0000695","EU","Retail","0.821","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""SMS""], ""interests"": [""pricing"", ""case_studies"", ""integration""]}","2025-07-25T11:44:19"
"L0000697","LATAM","HealthTech","0.211","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads""], ""interests"": [""security"", ""roadmap""]}","2025-08-24T15:52:20"
"L0000699","MEA","E‑commerce","0.818","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""case_studies"", ""roadmap"", ""roi""]}","2025-08-20T01:31:35"
"L0000701","India","FinTech","0.214","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""pricing"", ""case_studies""]}","2025-08-20T17:33:21"
"L0000705","LATAM","Manufacturing","0.801","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web"", ""Call""], ""interests"": [""case_studies"", ""security"", ""roi""]}","2025-08-05T16:46:45"
"L0000706","US","EdTech","0.375","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Call""], ""interests"": [""pricing""]}","2025-08-07T09:48:58"
"L0000709","MEA","Retail","0.669","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email"", ""Web""], ""interests"": [""roi""]}","2025-08-22T04:04:44"
"L0000711","EU","HealthTech","0.312","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email""], ""interests"": [""roi"", ""security""]}","2025-08-21T20:27:27"
"L0000712","APAC","SaaS","0.13","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads""], ""interests"": [""integration""]}","2025-07-19T11:36:30"
"L0000713","APAC","EdTech","0.743","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email"", ""Web""], ""interests"": [""integration"", ""roi""]}","2025-08-13T21:28:27"
"L0000714","LATAM","SaaS","0.85","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roadmap""]}","2025-07-05T16:58:57"
"L0000715","India","FinTech","0.942","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""case_studies""]}","2025-07-26T10:10:41"
"L0000716","APAC","HealthTech","0.86","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""security"", ""pricing""]}","2025-08-24T11:03:45"
"L0000718","India","HealthTech","0.252","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""pricing""]}","2025-08-24T20:05:34"
"L0000719","India","Manufacturing","0.435","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social"", ""SMS""], ""interests"": [""integration""]}","2025-08-13T03:37:10"
"L0000720","LATAM","Manufacturing","0.911","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads""], ""interests"": [""pricing"", ""security"", ""roi""]}","2025-07-02T00:21:41"
"L0000726","EU","Retail","0.188","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roi"", ""roadmap"", ""security""]}","2025-06-01T03:48:18"
"L0000727","US","E‑commerce","0.9","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Email""], ""interests"": [""security""]}","2025-07-27T15:30:06"
"L0000729","US","HealthTech","0.975","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email""], ""interests"": [""pricing"", ""integration"", ""roi""]}","2025-06-28T02:54:27"
"L0000730","EU","FinTech","0.031","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""pricing""]}","2025-07-01T04:42:10"
"L0000731","US","Retail","0.155","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email"", ""Call""], ""interests"": [""roadmap"", ""security""]}","2025-07-08T00:48:10"
"L0000733","APAC","Manufacturing","0.427","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Call""], ""interests"": [""case_studies""]}","2025-08-21T02:18:51"
"L0000734","EU","Media","0.471","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roi"", ""security""]}","2025-06-09T20:34:26"
"L0000735","MEA","HealthTech","0.321","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads"", ""Email""], ""interests"": [""integration""]}","2025-08-12T16:33:20"
"L0000738","EU","E‑commerce","0.001","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email"", ""Social""], ""interests"": [""roadmap""]}","2025-07-04T15:58:54"
"L0000739","MEA","HealthTech","0.933","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Call""], ""interests"": [""security"", ""pricing""]}","2025-08-26T07:31:54"
"L0000740","EU","FinTech","0.307","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""roadmap""]}","2025-08-15T00:38:24"
"L0000741","LATAM","E‑commerce","0.799","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social""], ""interests"": [""case_studies"", ""pricing""]}","2025-07-13T11:02:17"
"L0000742","APAC","E‑commerce","0.874","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social"", ""Call""], ""interests"": [""case_studies"", ""pricing""]}","2025-08-19T17:14:07"
"L0000743","US","HealthTech","0.074","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web""], ""interests"": [""integration""]}","2025-08-16T22:46:01"
"L0000745","APAC","Manufacturing","0.473","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call"", ""SMS""], ""interests"": [""roi"", ""pricing""]}","2025-08-03T23:30:44"
"L0000746","India","SaaS","0.744","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Web""], ""interests"": [""pricing""]}","2025-07-12T21:57:08"
"L0000747","US","EdTech","0.672","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""roadmap"", ""case_studies"", ""pricing""]}","2025-08-24T08:50:31"
"L0000748","India","HealthTech","0.56","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""roadmap""]}","2025-08-03T08:07:33"
"L0000750","EU","FinTech","0.824","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""integration"", ""roadmap"", ""roi""]}","2025-08-07T19:40:47"
"L0000757","LATAM","EdTech","0.572","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web""], ""interests"": [""integration"", ""roadmap"", ""roi""]}","2025-08-24T09:43:45"
"L0000758","LATAM","HealthTech","0.118","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call""], ""interests"": [""integration""]}","2025-06-28T03:08:14"
"L0000759","LATAM","FinTech","0.854","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""SMS""], ""interests"": [""case_studies"", ""integration"", ""roadmap""]}","2025-06-29T08:41:21"
"L0000762","India","EdTech","0.618","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Call""], ""interests"": [""roi"", ""case_studies"", ""pricing""]}","2025-08-22T00:14:32"
"L0000763","LATAM","EdTech","0.216","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""Email""], ""interests"": [""roi"", ""pricing"", ""security""]}","2025-08-28T11:15:52"
"L0000766","India","FinTech","0.859","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""roi"", ""security"", ""integration""]}","2025-08-25T07:33:43"
"L0000767","APAC","EdTech","0.062","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""Email""], ""interests"": [""pricing"", ""roadmap""]}","2025-06-18T15:19:52"
"L0000768","US","E‑commerce","0.195","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads""], ""interests"": [""roadmap""]}","2025-06-27T01:45:03"
"L0000771","LATAM","SaaS","0.604","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email""], ""interests"": [""roadmap"", ""pricing"", ""security""]}","2025-08-01T01:43:05"
"L0000775","LATAM","FinTech","0.116","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""pricing"", ""security""]}","2025-08-18T19:00:10"
"L0000777","MEA","Manufacturing","0.509","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""roadmap""]}","2025-08-08T04:25:30"
"L0000778","US","FinTech","0.81","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""pricing""]}","2025-08-18T22:28:14"
"L0000780","US","E‑commerce","0.474","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""security"", ""roi"", ""integration""]}","2025-05-28T16:39:29"
"L0000781","LATAM","FinTech","0.745","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Social""], ""interests"": [""case_studies"", ""pricing""]}","2025-08-20T22:41:39"
"L0000783","India","Retail","0.769","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social""], ""interests"": [""roi""]}","2025-05-28T22:37:51"
"L0000784","LATAM","FinTech","0.013","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call"", ""SMS""], ""interests"": [""integration""]}","2025-07-28T02:34:25"
"L0000785","APAC","FinTech","0.108","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social""], ""interests"": [""security""]}","2025-08-19T12:15:44"
"L0000786","India","Manufacturing","0.973","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""pricing""]}","2025-06-14T06:55:40"
"L0000787","MEA","E‑commerce","0.634","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roi""]}","2025-08-06T09:26:05"
"L0000788","India","E‑commerce","0.492","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""SMS""], ""interests"": [""security"", ""integration"", ""roadmap""]}","2025-06-14T23:23:59"
"L0000789","US","EdTech","0.733","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email"", ""Web""], ""interests"": [""roadmap"", ""integration"", ""roi""]}","2025-08-02T22:03:38"
"L0000790","EU","Retail","0.063","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""Call""], ""interests"": [""pricing""]}","2025-07-29T22:15:38"
"L0000791","India","Manufacturing","0.614","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""roi""]}","2025-07-14T18:00:17"
"L0000792","US","Retail","0.264","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""roadmap"", ""roi"", ""case_studies""]}","2025-06-30T11:28:50"
"L0000793","EU","SaaS","0.783","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""Social""], ""interests"": [""pricing""]}","2025-07-15T23:32:43"
"L0000794","MEA","Media","0.489","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""Email""], ""interests"": [""security"", ""case_studies"", ""roi""]}","2025-08-19T10:34:50"
"L0000795","US","FinTech","0.638","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""Web""], ""interests"": [""integration"", ""security"", ""roi""]}","2025-08-13T07:00:57"
"L0000798","MEA","HealthTech","0.857","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roadmap"", ""pricing"", ""roi""]}","2025-08-06T06:41:23"
"L0000799","LATAM","Manufacturing","0.035","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Social""], ""interests"": [""case_studies"", ""roadmap""]}","2025-07-14T02:31:45"
"L0000801","EU","Media","0.14","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""security"", ""integration""]}","2025-07-29T02:45:45"
"L0000802","India","FinTech","0.87","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS"", ""Social""], ""interests"": [""pricing"", ""case_studies""]}","2025-07-26T06:05:05"
"L0000803","LATAM","Manufacturing","0.658","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Social"", ""SMS""], ""interests"": [""roadmap""]}","2025-08-10T11:08:19"
"L0000804","MEA","Manufacturing","0.407","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS""], ""interests"": [""case_studies""]}","2025-06-29T00:20:19"
"L0000805","India","EdTech","0.131","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS"", ""Ads""], ""interests"": [""pricing"", ""integration""]}","2025-08-24T19:13:54"
"L0000807","EU","SaaS","0.865","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email"", ""Ads""], ""interests"": [""roadmap""]}","2025-08-06T14:12:00"
"L0000808","India","Media","0.981","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS"", ""Call""], ""interests"": [""case_studies"", ""integration"", ""pricing""]}","2025-08-07T08:30:41"
"L0000811","EU","FinTech","0.696","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads""], ""interests"": [""integration"", ""case_studies""]}","2025-06-13T12:55:10"
"L0000812","APAC","Manufacturing","0.284","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call"", ""Email""], ""interests"": [""integration"", ""security""]}","2025-05-29T19:19:32"
"L0000813","MEA","E‑commerce","0.193","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email""], ""interests"": [""roi"", ""pricing""]}","2025-08-18T18:53:18"
"L0000814","EU","E‑commerce","0.726","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email"", ""Social""], ""interests"": [""security"", ""roi""]}","2025-07-09T06:32:41"
"L0000815","US","FinTech","0.009","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call"", ""Email""], ""interests"": [""roi"", ""pricing""]}","2025-05-13T07:14:13"
"L0000816","APAC","EdTech","0.001","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""roi"", ""case_studies""]}","2025-05-27T22:42:08"
"L0000818","US","SaaS","0.946","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web"", ""Social""], ""interests"": [""case_studies"", ""security"", ""pricing""]}","2025-08-23T08:13:49"
"L0000819","LATAM","HealthTech","0.445","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads"", ""SMS""], ""interests"": [""integration"", ""case_studies""]}","2025-08-12T07:21:48"
"L0000820","LATAM","Media","0.093","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""roi"", ""integration"", ""roadmap""]}","2025-08-24T11:00:06"
"L0000821","LATAM","Media","0.21","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS""], ""interests"": [""integration"", ""roi"", ""case_studies""]}","2025-08-10T21:27:08"
"L0000822","India","FinTech","0.023","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""case_studies"", ""integration""]}","2025-08-21T17:24:46"
"L0000823","India","HealthTech","0.097","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web"", ""Call""], ""interests"": [""roi"", ""integration""]}","2025-08-16T15:39:24"
"L0000825","MEA","SaaS","0.25","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""roi"", ""case_studies""]}","2025-08-23T14:23:56"
"L0000826","LATAM","Retail","0.892","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""security""]}","2025-08-17T09:02:52"
"L0000828","APAC","Retail","0.756","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Ads"", ""Web""], ""interests"": [""pricing""]}","2025-08-22T02:20:21"
"L0000829","APAC","FinTech","0.109","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email"", ""SMS""], ""interests"": [""case_studies"", ""pricing""]}","2025-06-05T15:46:29"
"L0000830","US","HealthTech","0.541","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS"", ""Email""], ""interests"": [""security"", ""roi""]}","2025-08-21T22:21:52"
"L0000835","LATAM","Manufacturing","0.876","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""Social""], ""interests"": [""pricing""]}","2025-08-04T11:18:50"
"L0000838","APAC","FinTech","0.941","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web""], ""interests"": [""security""]}","2025-08-03T20:18:55"
"L0000842","India","EdTech","0.345","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email""], ""interests"": [""integration""]}","2025-07-29T21:41:19"
"L0000843","EU","Manufacturing","0.928","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email""], ""interests"": [""roi""]}","2025-08-25T21:52:54"
"L0000844","India","Media","0.865","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Call""], ""interests"": [""security""]}","2025-08-11T18:46:47"
"L0000845","India","EdTech","0.751","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""SMS""], ""interests"": [""roadmap"", ""roi"", ""security""]}","2025-07-08T15:29:12"
"L0000847","US","E‑commerce","0.711","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""SMS"", ""Call""], ""interests"": [""security""]}","2025-08-02T19:13:06"
"L0000848","LATAM","E‑commerce","0.836","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social""], ""interests"": [""integration"", ""roadmap""]}","2025-07-31T02:07:46"
"L0000850","MEA","FinTech","0.55","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call"", ""Email""], ""interests"": [""pricing""]}","2025-08-19T11:18:36"
"L0000851","India","FinTech","0.598","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call"", ""Ads""], ""interests"": [""pricing"", ""roadmap""]}","2025-08-24T13:18:24"
"L0000853","India","EdTech","0.023","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call""], ""interests"": [""roi"", ""security"", ""pricing""]}","2025-07-26T19:52:45"
"L0000855","APAC","Retail","0.078","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call"", ""Ads""], ""interests"": [""roi"", ""roadmap"", ""pricing""]}","2025-05-15T19:28:03"
"L0000857","LATAM","E‑commerce","0.205","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Call""], ""interests"": [""case_studies""]}","2025-08-28T18:46:15"
"L0000858","India","FinTech","0.874","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email"", ""SMS""], ""interests"": [""pricing"", ""roadmap"", ""roi""]}","2025-08-06T23:34:02"
"L0000859","MEA","E‑commerce","0.847","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Web"", ""Ads""], ""interests"": [""roadmap""]}","2025-07-19T11:35:17"
"L0000860","LATAM","FinTech","0.846","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS""], ""interests"": [""integration""]}","2025-08-28T06:20:29"
"L0000861","LATAM","Manufacturing","0.689","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email""], ""interests"": [""case_studies"", ""roadmap""]}","2025-07-03T17:21:08"
"L0000862","EU","Media","0.972","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web"", ""SMS""], ""interests"": [""case_studies"", ""integration""]}","2025-08-15T17:27:04"
"L0000864","APAC","E‑commerce","0.313","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Call""], ""interests"": [""security"", ""pricing""]}","2025-08-11T08:34:38"
"L0000865","LATAM","E‑commerce","0.7","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""SMS"", ""Social""], ""interests"": [""roadmap"", ""case_studies""]}","2025-08-08T19:08:31"
"L0000866","LATAM","Retail","0.424","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email"", ""Call""], ""interests"": [""roi"", ""pricing"", ""case_studies""]}","2025-08-12T12:04:27"
"L0000867","US","HealthTech","0.259","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Web""], ""interests"": [""roi"", ""case_studies""]}","2025-08-28T22:51:16"
"L0000871","India","Manufacturing","0.862","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Ads"", ""Call""], ""interests"": [""roadmap""]}","2025-08-16T19:26:01"
"L0000872","APAC","Manufacturing","0.025","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Social"", ""Ads""], ""interests"": [""case_studies"", ""integration"", ""security""]}","2025-06-29T11:31:33"
"L0000873","MEA","EdTech","0.986","{""best_contact_time"": ""09:00-11:00"", ""preferred_channels"": [""Email""], ""interests"": [""case_studies"", ""roi"", ""pricing""]}","2025-08-28T14:15:13"
"L0000874","LATAM","EdTech","0.47","{""best_contact_time"": ""13:00-15:00"", ""preferred_channels"": [""Email""], ""interests"": [""roi""]}","2025-06-15T06:13:46"
"L0000875","India","E‑commerce","0.867","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Ads"", ""Social""], ""interests"": [""roi"", ""pricing"", ""integration""]}","2025-08-28T17:44:39"
"L0000877","APAC","HealthTech","0.779","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Email""], ""interests"": [""integration"", ""security"", ""roadmap""]}","2025-08-26T23:34:00"
"L0000878","APAC","Retail","0.974","{""best_contact_time"": ""16:00-18:00"", ""preferred_channels"": [""Web"", ""Call""], ""interests"": [""pricing"", ""integration""]}","2025-07-12T17:18:30"
