"resource_uri","timestamp","scope","operation","success","actor"
"cache://memory","2025-07-08T13:36:57","write","QUERY","True","Agent-Client"
"kg://graph","2025-05-08T15:16:58","search","MERGE","False","Optimizer-Worker"
"analytics://events","2025-08-17T20:04:48","search","SELECT","True","MCP-Server"
"cache://memory","2025-05-25T00:48:57","consolidate","UPDATE","True","MCP-Server"
"db://leads","2025-06-08T23:09:11","read","UPSERT","False","Optimizer-Worker"
"db://campaigns","2025-05-31T09:02:30","consolidate","MERGE","True","Agent-Client"
"cache://memory","2025-06-05T23:25:11","read","SELECT","True","MCP-Server"
"db://leads","2025-08-16T00:57:31","search","INSERT","True","Agent-Client"
"db://leads","2025-05-29T15:58:47","consolidate","INSERT","False","Agent-Client"
"kg://graph","2025-06-01T01:25:15","read","UPSERT","True","Agent-Client"
"db://interactions","2025-06-26T01:44:45","consolidate","INSERT","False","MCP-Server"
"db://leads","2025-05-06T11:35:58","read","UPSERT","True","Agent-Client"
"analytics://events","2025-07-14T05:18:29","write","UPSERT","False","Agent-Client"
"analytics://events","2025-07-31T03:50:53","search","UPSERT","False","Optimizer-Worker"
"db://leads","2025-05-21T02:52:02","search","INSERT","False","Optimizer-Worker"
"analytics://events","2025-08-21T21:47:56","consolidate","QUERY","False","Agent-Client"
"db://campaigns","2025-08-11T05:14:54","consolidate","UPDATE","True","Optimizer-Worker"
"db://leads","2025-06-03T08:32:42","consolidate","SELECT","True","Optimizer-Worker"
"kg://graph","2025-05-11T15:51:36","write","UPDATE","True","Optimizer-Worker"
"db://campaigns","2025-08-05T23:19:01","write","MERGE","True","Agent-Client"
"db://interactions","2025-08-25T02:54:25","consolidate","UPSERT","True","Agent-Client"
"db://interactions","2025-06-29T10:22:39","read","UPDATE","True","Optimizer-Worker"
"cache://memory","2025-05-08T05:08:53","search","UPSERT","True","MCP-Server"
"kg://graph","2025-07-01T00:24:54","search","QUERY","False","Optimizer-Worker"
"analytics://events","2025-05-30T16:56:53","write","UPSERT","False","Agent-Client"
"cache://memory","2025-06-03T13:09:53","read","SELECT","False","Optimizer-Worker"
"kg://graph","2025-05-19T20:10:40","read","INSERT","True","Optimizer-Worker"
"cache://memory","2025-07-27T20:40:26","search","UPDATE","True","Optimizer-Worker"
"db://interactions","2025-07-30T10:30:36","read","SELECT","True","Agent-Client"
"cache://memory","2025-05-17T02:46:56","write","SELECT","False","Agent-Client"
"db://interactions","2025-06-08T23:45:19","consolidate","INSERT","False","Agent-Client"
"cache://memory","2025-07-20T18:43:40","write","QUERY","True","MCP-Server"
"db://campaigns","2025-08-13T13:58:11","consolidate","INSERT","True","Agent-Client"
"kg://graph","2025-07-23T00:33:49","write","UPDATE","True","MCP-Server"
"kg://graph","2025-07-16T22:49:54","consolidate","MERGE","True","MCP-Server"
"db://campaigns","2025-06-11T09:26:54","consolidate","UPDATE","True","Agent-Client"
"cache://memory","2025-07-06T09:17:28","consolidate","QUERY","True","Optimizer-Worker"
"db://interactions","2025-07-09T20:26:15","read","MERGE","True","MCP-Server"
"db://leads","2025-07-31T21:07:35","write","UPSERT","True","Agent-Client"
"db://campaigns","2025-05-23T16:56:39","read","UPSERT","True","Optimizer-Worker"
"kg://graph","2025-05-19T07:30:02","search","UPDATE","False","Optimizer-Worker"
"db://campaigns","2025-07-16T10:38:13","consolidate","QUERY","True","Optimizer-Worker"
"db://campaigns","2025-06-13T11:31:34","search","UPDATE","True","Agent-Client"
"analytics://events","2025-08-11T12:38:26","search","SELECT","True","Agent-Client"
"analytics://events","2025-05-06T04:35:05","read","QUERY","False","Optimizer-Worker"
"kg://graph","2025-05-22T19:03:24","search","MERGE","True","Optimizer-Worker"
"cache://memory","2025-06-09T20:51:27","write","INSERT","True","Agent-Client"
"db://leads","2025-07-24T02:04:14","read","INSERT","True","MCP-Server"
"db://interactions","2025-06-11T09:39:48","write","MERGE","True","Optimizer-Worker"
"cache://memory","2025-05-19T23:04:01","consolidate","INSERT","True","Agent-Client"
"db://leads","2025-07-21T18:07:48","search","SELECT","False","Agent-Client"
"kg://graph","2025-07-07T06:28:32","read","MERGE","True","Agent-Client"
"cache://memory","2025-07-22T21:47:26","write","UPDATE","True","MCP-Server"
"db://leads","2025-05-08T11:57:49","write","SELECT","True","MCP-Server"
"db://campaigns","2025-08-17T20:24:18","search","MERGE","True","MCP-Server"
"db://campaigns","2025-07-02T14:00:57","read","MERGE","True","Optimizer-Worker"
"kg://graph","2025-08-12T07:39:15","consolidate","UPDATE","True","Optimizer-Worker"
"analytics://events","2025-05-14T07:10:26","search","SELECT","True","MCP-Server"
"db://campaigns","2025-06-15T09:03:32","consolidate","INSERT","False","Optimizer-Worker"
"cache://memory","2025-07-07T15:17:53","write","SELECT","True","MCP-Server"
"kg://graph","2025-05-25T09:59:13","search","UPDATE","False","MCP-Server"
"db://campaigns","2025-07-09T10:52:10","search","INSERT","False","MCP-Server"
"cache://memory","2025-08-05T07:19:01","search","INSERT","False","MCP-Server"
"db://interactions","2025-05-20T02:22:39","consolidate","UPSERT","True","Agent-Client"
"db://campaigns","2025-06-13T10:26:30","write","UPSERT","False","Optimizer-Worker"
"db://interactions","2025-08-09T15:55:48","read","MERGE","True","Optimizer-Worker"
"cache://memory","2025-06-11T01:28:16","consolidate","INSERT","True","Optimizer-Worker"
"cache://memory","2025-06-08T11:33:07","search","SELECT","False","Agent-Client"
"kg://graph","2025-05-15T23:15:37","search","MERGE","True","MCP-Server"
"analytics://events","2025-05-30T23:49:18","consolidate","MERGE","True","Optimizer-Worker"
"cache://memory","2025-05-13T11:32:59","consolidate","UPSERT","True","Optimizer-Worker"
"db://campaigns","2025-07-18T15:03:12","search","SELECT","True","Agent-Client"
"db://campaigns","2025-07-07T07:30:24","write","MERGE","True","Agent-Client"
"cache://memory","2025-07-14T05:33:31","read","UPDATE","True","Agent-Client"
"cache://memory","2025-06-02T08:01:21","search","MERGE","True","Agent-Client"
"analytics://events","2025-06-05T12:23:04","write","SELECT","False","MCP-Server"
"db://campaigns","2025-07-19T11:28:38","search","INSERT","True","MCP-Server"
"db://campaigns","2025-05-11T03:14:24","read","SELECT","True","Agent-Client"
"kg://graph","2025-05-20T21:48:52","write","UPDATE","True","Agent-Client"
"cache://memory","2025-06-03T19:02:31","consolidate","INSERT","True","MCP-Server"
"kg://graph","2025-07-25T14:19:26","consolidate","MERGE","False","Optimizer-Worker"
"db://interactions","2025-05-20T03:08:13","search","MERGE","True","MCP-Server"
"db://leads","2025-05-21T15:36:24","search","UPDATE","False","MCP-Server"
"analytics://events","2025-07-09T00:41:01","read","UPDATE","True","MCP-Server"
"cache://memory","2025-06-25T19:10:17","read","MERGE","True","MCP-Server"
"db://campaigns","2025-06-14T05:46:42","read","MERGE","True","MCP-Server"
"db://campaigns","2025-06-06T05:48:05","search","SELECT","True","MCP-Server"
"kg://graph","2025-08-25T10:18:02","read","UPDATE","True","Optimizer-Worker"
"db://campaigns","2025-07-26T10:33:10","consolidate","SELECT","True","Agent-Client"
"db://interactions","2025-05-16T15:32:26","read","UPDATE","False","MCP-Server"
"kg://graph","2025-06-26T12:24:03","write","SELECT","False","MCP-Server"
"cache://memory","2025-07-16T12:30:30","search","MERGE","True","MCP-Server"
"analytics://events","2025-06-02T01:52:20","read","UPSERT","True","Optimizer-Worker"
"kg://graph","2025-07-20T13:44:00","search","UPDATE","True","MCP-Server"
"db://leads","2025-06-30T19:05:48","search","INSERT","True","MCP-Server"
"db://campaigns","2025-07-02T09:08:52","write","UPSERT","True","Optimizer-Worker"
"kg://graph","2025-05-10T05:54:58","write","MERGE","False","Agent-Client"
"db://interactions","2025-07-02T11:03:26","write","INSERT","True","Optimizer-Worker"
"analytics://events","2025-05-11T15:19:55","read","QUERY","True","Optimizer-Worker"
"analytics://events","2025-06-26T11:18:20","write","SELECT","False","MCP-Server"
"db://interactions","2025-08-07T18:00:25","consolidate","SELECT","True","Optimizer-Worker"
"db://interactions","2025-08-03T08:56:25","consolidate","QUERY","False","MCP-Server"
"db://leads","2025-06-18T20:10:26","search","MERGE","True","Agent-Client"
"db://campaigns","2025-05-19T14:28:09","consolidate","MERGE","True","Agent-Client"
"db://interactions","2025-07-09T22:01:57","read","MERGE","False","MCP-Server"
"analytics://events","2025-08-21T12:28:52","write","QUERY","True","Optimizer-Worker"
"analytics://events","2025-05-31T06:17:01","consolidate","UPSERT","True","Optimizer-Worker"
"analytics://events","2025-07-09T13:52:08","write","INSERT","False","MCP-Server"
"kg://graph","2025-07-19T23:43:49","write","INSERT","True","Agent-Client"
"kg://graph","2025-05-08T01:09:43","search","UPDATE","True","Agent-Client"
"db://leads","2025-06-08T20:12:48","read","INSERT","True","Agent-Client"
"db://interactions","2025-08-10T05:05:04","read","INSERT","True","MCP-Server"
"db://campaigns","2025-05-20T04:45:30","read","INSERT","False","MCP-Server"
"db://interactions","2025-08-20T20:37:45","read","SELECT","True","Optimizer-Worker"
"db://interactions","2025-07-02T01:41:45","read","UPDATE","True","Agent-Client"
"cache://memory","2025-08-25T13:13:13","read","MERGE","True","MCP-Server"
"db://interactions","2025-07-06T18:30:22","read","SELECT","True","Optimizer-Worker"
"analytics://events","2025-07-08T01:13:22","consolidate","SELECT","True","Optimizer-Worker"
"analytics://events","2025-08-11T05:45:57","read","UPDATE","True","Agent-Client"
"db://campaigns","2025-06-28T18:38:12","write","SELECT","True","Optimizer-Worker"
"kg://graph","2025-05-05T14:30:51","write","UPSERT","False","MCP-Server"
"db://interactions","2025-08-11T08:50:02","search","UPDATE","False","Agent-Client"
"analytics://events","2025-06-12T14:09:41","consolidate","INSERT","False","MCP-Server"
"db://interactions","2025-05-20T04:56:42","search","MERGE","True","Agent-Client"
"db://interactions","2025-06-30T11:18:50","read","QUERY","True","Optimizer-Worker"
"kg://graph","2025-05-13T03:40:27","search","INSERT","True","MCP-Server"
"db://leads","2025-07-23T08:52:44","search","INSERT","True","Optimizer-Worker"
"db://campaigns","2025-06-22T17:34:04","write","MERGE","True","Optimizer-Worker"
"cache://memory","2025-08-07T07:53:51","consolidate","INSERT","True","Optimizer-Worker"
"db://interactions","2025-05-02T10:41:18","consolidate","INSERT","True","Optimizer-Worker"
"cache://memory","2025-05-14T18:13:00","consolidate","UPDATE","True","MCP-Server"
"db://interactions","2025-05-10T13:08:18","search","UPDATE","True","Optimizer-Worker"
"db://interactions","2025-05-30T01:46:38","search","UPDATE","False","MCP-Server"
"kg://graph","2025-07-01T05:58:53","write","SELECT","True","Agent-Client"
"db://campaigns","2025-08-18T00:35:24","consolidate","UPDATE","True","MCP-Server"
"cache://memory","2025-08-15T16:23:39","search","QUERY","True","Agent-Client"
"cache://memory","2025-08-04T05:21:50","read","UPDATE","True","Agent-Client"
"kg://graph","2025-05-23T22:41:29","write","UPDATE","True","Optimizer-Worker"
"analytics://events","2025-07-31T15:51:43","consolidate","UPDATE","True","MCP-Server"
"kg://graph","2025-05-28T19:19:00","write","INSERT","True","MCP-Server"
"cache://memory","2025-06-22T19:37:21","search","QUERY","True","MCP-Server"
"db://campaigns","2025-07-28T04:39:24","consolidate","SELECT","True","Optimizer-Worker"
"kg://graph","2025-07-21T09:50:14","write","UPSERT","True","MCP-Server"
"cache://memory","2025-07-25T17:03:23","search","MERGE","True","MCP-Server"
"kg://graph","2025-06-02T03:49:26","consolidate","QUERY","False","Agent-Client"
"db://campaigns","2025-08-21T19:25:39","write","UPDATE","False","MCP-Server"
"analytics://events","2025-08-05T05:07:11","read","SELECT","True","Agent-Client"
"db://leads","2025-05-17T10:09:15","search","UPDATE","True","Optimizer-Worker"
"db://interactions","2025-06-26T08:30:34","search","QUERY","False","Optimizer-Worker"
"analytics://events","2025-08-06T13:34:19","write","UPSERT","True","Agent-Client"
"cache://memory","2025-07-05T23:03:22","consolidate","UPDATE","True","Agent-Client"
"kg://graph","2025-06-11T03:34:17","read","UPDATE","True","MCP-Server"
"cache://memory","2025-05-04T04:17:09","search","QUERY","True","MCP-Server"
"db://leads","2025-05-11T21:40:43","write","INSERT","True","Optimizer-Worker"
"cache://memory","2025-08-07T12:34:58","consolidate","INSERT","True","Agent-Client"
"kg://graph","2025-05-23T01:25:30","write","UPSERT","False","Optimizer-Worker"
"cache://memory","2025-05-26T23:19:48","read","QUERY","False","Optimizer-Worker"
"kg://graph","2025-05-04T09:47:18","search","UPSERT","False","Agent-Client"
"kg://graph","2025-07-26T03:31:18","search","UPDATE","False","Agent-Client"
"analytics://events","2025-06-03T13:56:15","consolidate","UPSERT","False","Agent-Client"
"kg://graph","2025-07-22T00:51:27","write","MERGE","False","Agent-Client"
"db://interactions","2025-07-03T13:25:20","write","INSERT","True","MCP-Server"
"db://campaigns","2025-08-14T17:01:10","read","UPSERT","True","Agent-Client"
"db://leads","2025-08-08T19:28:07","read","SELECT","False","MCP-Server"
"analytics://events","2025-07-12T02:12:24","consolidate","UPDATE","False","MCP-Server"
"analytics://events","2025-07-29T04:08:17","write","UPDATE","True","Agent-Client"
"db://leads","2025-06-07T07:26:40","search","MERGE","True","Agent-Client"
"db://campaigns","2025-07-05T02:02:43","consolidate","QUERY","False","Optimizer-Worker"
"db://interactions","2025-05-27T13:03:19","consolidate","UPDATE","False","Agent-Client"
"db://interactions","2025-07-22T14:04:56","read","UPSERT","True","Optimizer-Worker"
"db://interactions","2025-05-23T19:53:51","write","QUERY","True","MCP-Server"
"db://campaigns","2025-08-19T20:08:48","write","QUERY","True","MCP-Server"
"db://campaigns","2025-05-30T21:32:12","consolidate","UPSERT","True","Optimizer-Worker"
"cache://memory","2025-08-15T02:49:29","read","SELECT","True","Agent-Client"
"kg://graph","2025-06-25T07:30:19","write","MERGE","True","Optimizer-Worker"
"db://interactions","2025-06-23T17:11:50","consolidate","MERGE","True","MCP-Server"
"db://interactions","2025-07-09T18:34:55","search","INSERT","True","Agent-Client"
"cache://memory","2025-08-20T07:57:44","consolidate","INSERT","True","Optimizer-Worker"
"db://leads","2025-08-07T21:56:52","write","MERGE","False","Optimizer-Worker"
"kg://graph","2025-05-30T06:35:54","write","MERGE","True","Agent-Client"
"db://campaigns","2025-06-07T21:12:57","search","UPDATE","True","MCP-Server"
"db://interactions","2025-07-14T04:03:34","read","UPDATE","True","Agent-Client"
"analytics://events","2025-05-29T18:46:38","search","INSERT","False","Agent-Client"
"cache://memory","2025-06-22T06:23:54","write","SELECT","True","Optimizer-Worker"
"db://interactions","2025-06-02T02:49:44","consolidate","INSERT","True","MCP-Server"
"kg://graph","2025-07-02T03:47:16","read","QUERY","False","Optimizer-Worker"
"db://leads","2025-08-06T05:23:41","search","INSERT","False","Agent-Client"
"db://campaigns","2025-08-25T17:03:52","write","UPDATE","True","Agent-Client"
"db://campaigns","2025-05-31T06:59:48","read","INSERT","False","MCP-Server"
"analytics://events","2025-06-06T15:39:43","search","QUERY","False","MCP-Server"
"analytics://events","2025-05-05T18:00:57","read","UPSERT","False","Agent-Client"
"db://interactions","2025-05-07T09:33:30","search","SELECT","True","Agent-Client"
"analytics://events","2025-06-23T10:09:22","write","INSERT","True","MCP-Server"
"analytics://events","2025-07-19T08:16:35","write","SELECT","False","Agent-Client"
"analytics://events","2025-08-18T23:59:54","search","QUERY","True","MCP-Server"
"cache://memory","2025-07-16T04:48:55","write","INSERT","False","Optimizer-Worker"
"db://campaigns","2025-08-23T01:07:02","search","MERGE","True","Agent-Client"
"db://interactions","2025-07-02T18:35:27","search","MERGE","True","Optimizer-Worker"
"cache://memory","2025-08-10T17:29:17","consolidate","UPSERT","True","Agent-Client"
"kg://graph","2025-07-28T12:51:30","write","UPDATE","True","MCP-Server"
"analytics://events","2025-06-23T14:14:13","read","MERGE","True","Optimizer-Worker"
"db://campaigns","2025-08-14T14:59:02","search","MERGE","True","MCP-Server"
"cache://memory","2025-07-12T09:44:57","search","SELECT","True","Agent-Client"
"kg://graph","2025-08-05T21:02:23","search","INSERT","True","MCP-Server"
"kg://graph","2025-08-20T12:44:19","read","SELECT","True","Optimizer-Worker"
"db://campaigns","2025-07-30T21:12:37","read","SELECT","True","MCP-Server"
"kg://graph","2025-06-22T13:06:06","consolidate","MERGE","True","Optimizer-Worker"
"db://leads","2025-05-16T11:34:40","read","MERGE","True","Optimizer-Worker"
"db://campaigns","2025-06-24T12:33:51","consolidate","QUERY","True","Agent-Client"
"db://interactions","2025-08-06T02:28:53","read","MERGE","False","Agent-Client"
"db://leads","2025-07-04T18:55:52","write","UPSERT","True","MCP-Server"
"kg://graph","2025-06-22T06:04:06","search","UPSERT","True","Optimizer-Worker"
"kg://graph","2025-05-29T05:23:37","consolidate","UPDATE","False","MCP-Server"
"kg://graph","2025-05-28T00:25:13","write","UPSERT","True","MCP-Server"
"db://leads","2025-06-19T18:09:40","write","SELECT","False","Optimizer-Worker"
"db://campaigns","2025-08-10T23:54:52","consolidate","SELECT","True","Optimizer-Worker"
"db://leads","2025-07-19T09:18:36","search","QUERY","True","MCP-Server"
"db://leads","2025-05-04T00:05:46","consolidate","UPDATE","False","Agent-Client"
"cache://memory","2025-07-15T21:11:13","consolidate","INSERT","True","MCP-Server"
"kg://graph","2025-08-23T06:39:45","search","MERGE","False","Optimizer-Worker"
"db://interactions","2025-05-09T01:12:55","consolidate","MERGE","True","Optimizer-Worker"
"db://interactions","2025-07-12T01:29:25","consolidate","QUERY","False","Agent-Client"
"analytics://events","2025-05-19T23:14:56","consolidate","UPSERT","True","Optimizer-Worker"
"db://campaigns","2025-05-19T16:55:50","search","QUERY","False","Optimizer-Worker"
"kg://graph","2025-08-07T11:12:09","write","UPDATE","True","Optimizer-Worker"
"db://interactions","2025-07-01T13:48:13","write","UPDATE","True","Optimizer-Worker"
"db://campaigns","2025-08-19T04:35:58","search","QUERY","False","MCP-Server"
"kg://graph","2025-08-08T19:12:18","consolidate","QUERY","True","MCP-Server"
"analytics://events","2025-08-07T07:04:57","search","INSERT","True","Optimizer-Worker"
"analytics://events","2025-05-19T02:24:42","read","UPSERT","False","Optimizer-Worker"
"analytics://events","2025-05-02T08:28:02","consolidate","INSERT","False","MCP-Server"
"db://campaigns","2025-08-12T04:38:30","search","MERGE","True","Agent-Client"
"kg://graph","2025-08-04T22:40:23","search","UPDATE","True","MCP-Server"
"db://interactions","2025-07-07T14:05:32","write","SELECT","True","Agent-Client"
"db://leads","2025-07-08T10:05:09","search","QUERY","True","MCP-Server"
"cache://memory","2025-07-01T19:00:30","write","QUERY","True","Agent-Client"
"cache://memory","2025-05-23T21:18:14","read","QUERY","True","Optimizer-Worker"
"db://leads","2025-08-11T13:57:07","write","MERGE","False","MCP-Server"
"db://campaigns","2025-07-12T12:08:59","write","INSERT","True","MCP-Server"
"kg://graph","2025-08-27T20:48:57","read","UPSERT","False","MCP-Server"
"analytics://events","2025-08-23T10:32:36","read","QUERY","True","MCP-Server"
"db://campaigns","2025-08-07T04:45:07","consolidate","UPSERT","True","Agent-Client"
"analytics://events","2025-07-28T14:44:43","search","INSERT","True","MCP-Server"
"db://campaigns","2025-07-28T05:47:13","read","UPSERT","True","MCP-Server"
"db://leads","2025-06-24T16:45:13","read","MERGE","True","Agent-Client"
"cache://memory","2025-06-20T02:25:16","write","INSERT","False","Agent-Client"
"analytics://events","2025-08-24T21:23:17","search","UPDATE","True","Optimizer-Worker"
"analytics://events","2025-06-15T22:47:38","consolidate","INSERT","False","Agent-Client"
"kg://graph","2025-07-10T04:35:57","search","SELECT","False","Agent-Client"
"db://leads","2025-08-15T12:56:25","read","SELECT","True","Agent-Client"
"kg://graph","2025-08-12T14:38:42","consolidate","MERGE","True","Optimizer-Worker"
"db://campaigns","2025-07-31T17:27:09","search","INSERT","True","MCP-Server"
"kg://graph","2025-05-19T19:24:09","write","SELECT","True","Agent-Client"
"db://interactions","2025-07-14T23:26:55","search","INSERT","True","Optimizer-Worker"
"analytics://events","2025-07-14T10:50:37","search","UPDATE","False","MCP-Server"
"db://leads","2025-07-20T12:16:49","write","SELECT","False","MCP-Server"
"db://campaigns","2025-08-05T15:51:06","search","UPDATE","True","Agent-Client"
"db://interactions","2025-05-08T14:48:12","search","QUERY","True","Agent-Client"
"cache://memory","2025-05-01T12:15:39","consolidate","UPSERT","True","Optimizer-Worker"
"db://interactions","2025-05-24T11:13:56","consolidate","UPSERT","True","Optimizer-Worker"
"db://leads","2025-07-07T15:04:44","write","MERGE","False","Agent-Client"
"kg://graph","2025-05-12T00:35:48","consolidate","MERGE","True","Optimizer-Worker"
"cache://memory","2025-08-04T12:02:50","read","QUERY","False","Agent-Client"
"db://interactions","2025-05-16T09:21:35","search","MERGE","True","MCP-Server"
"analytics://events","2025-07-16T15:13:20","write","MERGE","True","Agent-Client"
"kg://graph","2025-05-31T11:18:17","write","QUERY","True","MCP-Server"
"analytics://events","2025-08-07T17:09:46","read","MERGE","False","Agent-Client"
"kg://graph","2025-08-28T11:31:53","read","UPSERT","True","MCP-Server"
"cache://memory","2025-05-14T19:16:10","consolidate","UPSERT","True","Agent-Client"
"db://leads","2025-08-02T17:15:46","write","INSERT","True","Optimizer-Worker"
"kg://graph","2025-07-22T21:12:47","write","SELECT","True","Agent-Client"
"kg://graph","2025-06-13T15:10:41","write","QUERY","True","MCP-Server"
"db://leads","2025-08-19T18:48:41","consolidate","MERGE","False","MCP-Server"
"analytics://events","2025-05-13T13:35:07","read","SELECT","False","MCP-Server"
"analytics://events","2025-06-15T09:06:30","write","INSERT","True","MCP-Server"
"kg://graph","2025-05-10T20:41:04","write","QUERY","False","MCP-Server"
"db://interactions","2025-06-05T19:32:34","write","UPSERT","True","Optimizer-Worker"
"db://leads","2025-08-03T12:11:16","write","MERGE","True","Optimizer-Worker"
"db://interactions","2025-05-05T14:25:21","write","MERGE","True","Optimizer-Worker"
"analytics://events","2025-05-24T11:35:43","write","UPSERT","True","MCP-Server"
"db://campaigns","2025-06-14T05:01:00","write","UPSERT","True","Agent-Client"
"db://interactions","2025-07-10T17:01:38","search","QUERY","True","Optimizer-Worker"
"analytics://events","2025-08-14T07:19:39","read","UPSERT","True","Agent-Client"
"db://interactions","2025-05-14T15:10:15","consolidate","SELECT","True","Agent-Client"
"analytics://events","2025-05-17T06:47:22","write","UPDATE","True","MCP-Server"
"kg://graph","2025-05-12T15:11:16","read","INSERT","False","Agent-Client"
"kg://graph","2025-05-13T10:45:21","consolidate","SELECT","True","MCP-Server"
"db://leads","2025-08-24T02:47:34","search","MERGE","True","Optimizer-Worker"
"db://interactions","2025-07-04T12:16:24","consolidate","UPDATE","True","Optimizer-Worker"
"db://leads","2025-05-27T16:26:00","read","INSERT","True","Agent-Client"
"analytics://events","2025-06-26T01:52:40","consolidate","UPDATE","True","MCP-Server"
"db://leads","2025-05-19T07:44:50","write","QUERY","True","MCP-Server"
"db://leads","2025-08-16T18:18:41","read","SELECT","True","MCP-Server"
"db://interactions","2025-05-13T23:26:58","write","UPDATE","False","Optimizer-Worker"
"analytics://events","2025-08-20T08:28:47","search","INSERT","True","Optimizer-Worker"
"analytics://events","2025-06-12T22:11:07","search","UPSERT","True","MCP-Server"
"kg://graph","2025-07-11T08:33:10","read","INSERT","True","Agent-Client"
"db://interactions","2025-06-26T04:47:44","write","UPDATE","False","Agent-Client"
"cache://memory","2025-05-10T03:32:34","read","MERGE","True","Agent-Client"
"db://campaigns","2025-05-28T12:28:22","read","SELECT","True","Agent-Client"
"cache://memory","2025-05-27T03:34:30","read","INSERT","True","Optimizer-Worker"
"db://leads","2025-07-13T23:29:33","consolidate","QUERY","True","MCP-Server"
"cache://memory","2025-05-24T12:47:36","write","QUERY","True","Agent-Client"
"db://campaigns","2025-05-25T08:03:56","write","QUERY","True","Agent-Client"
"db://campaigns","2025-07-25T11:24:47","search","MERGE","False","Agent-Client"
"cache://memory","2025-08-14T07:52:09","write","UPSERT","False","Agent-Client"
"cache://memory","2025-08-26T09:37:45","write","MERGE","False","MCP-Server"
"kg://graph","2025-05-21T11:40:59","search","INSERT","True","Optimizer-Worker"
"db://campaigns","2025-06-24T14:28:18","consolidate","UPSERT","True","Optimizer-Worker"
"analytics://events","2025-07-29T05:07:15","consolidate","INSERT","True","Optimizer-Worker"
"cache://memory","2025-05-31T02:43:19","write","UPDATE","True","Agent-Client"
"db://leads","2025-06-07T11:40:45","search","QUERY","False","Optimizer-Worker"
"db://campaigns","2025-06-10T20:20:36","search","UPSERT","True","Optimizer-Worker"
"analytics://events","2025-05-25T11:24:08","search","UPSERT","False","Optimizer-Worker"
"analytics://events","2025-07-05T02:18:39","consolidate","SELECT","True","MCP-Server"
"analytics://events","2025-06-26T10:45:32","search","INSERT","True","MCP-Server"
"analytics://events","2025-05-03T10:20:21","consolidate","QUERY","True","MCP-Server"
"analytics://events","2025-08-26T20:04:15","consolidate","UPSERT","False","Agent-Client"
"analytics://events","2025-05-08T04:20:44","search","UPSERT","True","MCP-Server"
"analytics://events","2025-07-22T22:49:35","read","SELECT","True","MCP-Server"
"db://leads","2025-06-23T01:35:36","write","SELECT","True","Optimizer-Worker"
"db://interactions","2025-08-10T07:30:31","write","SELECT","True","Optimizer-Worker"
"analytics://events","2025-08-17T11:07:58","read","UPSERT","False","Optimizer-Worker"
"db://interactions","2025-05-30T11:56:34","read","SELECT","True","Optimizer-Worker"
"db://leads","2025-05-28T04:53:21","consolidate","MERGE","True","Agent-Client"
"kg://graph","2025-06-07T18:57:29","write","MERGE","True","Agent-Client"
"db://leads","2025-08-16T13:37:23","search","QUERY","True","Agent-Client"
"kg://graph","2025-08-24T22:30:58","read","INSERT","True","Optimizer-Worker"
"db://leads","2025-06-12T21:28:09","consolidate","INSERT","False","Optimizer-Worker"
"cache://memory","2025-07-31T08:51:14","search","UPDATE","False","MCP-Server"
"db://leads","2025-07-31T08:37:02","write","MERGE","False","Optimizer-Worker"
"cache://memory","2025-08-23T16:10:38","write","UPSERT","False","Agent-Client"
"analytics://events","2025-08-08T21:16:34","consolidate","QUERY","True","Optimizer-Worker"
"db://interactions","2025-07-12T23:41:46","read","INSERT","True","Optimizer-Worker"
"db://interactions","2025-06-01T08:35:23","consolidate","UPDATE","False","MCP-Server"
"db://leads","2025-05-27T12:02:15","search","UPSERT","True","Optimizer-Worker"
"kg://graph","2025-05-25T21:31:23","read","INSERT","True","Agent-Client"
"kg://graph","2025-07-17T15:17:00","write","INSERT","True","Optimizer-Worker"
"db://campaigns","2025-06-21T14:42:24","consolidate","INSERT","True","MCP-Server"
"kg://graph","2025-07-08T07:43:33","consolidate","UPDATE","True","Agent-Client"
"cache://memory","2025-06-13T05:10:57","write","UPSERT","True","Agent-Client"
"cache://memory","2025-06-27T17:16:01","read","UPDATE","False","Agent-Client"
"kg://graph","2025-08-16T02:39:49","read","SELECT","True","Agent-Client"
"db://leads","2025-05-24T02:34:22","search","SELECT","True","MCP-Server"
"kg://graph","2025-05-25T22:33:00","write","QUERY","True","Optimizer-Worker"
"analytics://events","2025-05-17T22:07:39","consolidate","MERGE","True","Agent-Client"
"cache://memory","2025-08-16T03:19:10","read","SELECT","True","Agent-Client"
"db://interactions","2025-05-31T10:10:02","read","MERGE","True","MCP-Server"
"db://leads","2025-05-08T15:03:40","write","UPDATE","True","Optimizer-Worker"
"cache://memory","2025-05-01T23:20:23","read","UPSERT","True","Agent-Client"
"db://campaigns","2025-06-29T08:03:13","consolidate","INSERT","True","Optimizer-Worker"
"db://leads","2025-07-25T06:32:22","write","SELECT","True","Agent-Client"
"kg://graph","2025-07-16T22:38:09","read","SELECT","False","MCP-Server"
"kg://graph","2025-07-21T02:20:38","write","INSERT","True","Optimizer-Worker"
"db://campaigns","2025-08-08T09:41:34","write","UPDATE","True","Optimizer-Worker"
"analytics://events","2025-05-09T19:06:19","read","INSERT","True","Optimizer-Worker"
"db://campaigns","2025-07-26T16:49:46","consolidate","SELECT","False","Agent-Client"
