"episode_id","scenario","action_sequence_json","outcome_score","notes"
"EPI00218","enterprise_eval","[""book_demo"", ""offer_trial""]","0.923","best when lead score >70"
"EPI00219","security_review","[""escalate_manager"", ""pause_sequence"", ""book_demo"", ""retarget_ads"", ""follow_up_sms""]","0.506","best when lead score >70"
"EPI00220","multi_stakeholder","[""book_demo"", ""offer_trial"", ""send_case_study"", ""retarget_ads"", ""follow_up_sms""]","0.394","great for re-engagement"
"EPI00221","smb_quick_win","[""book_demo"", ""send_case_study"", ""offer_trial""]","0.822","best when lead score >70"
"EPI00222","multi_stakeholder","[""pause_sequence"", ""offer_trial""]","0.84","worked well for APAC SMBs"
"EPI00223","security_review","[""book_demo"", ""send_case_study"", ""retarget_ads""]","0.519","best when lead score >70"
"EPI00224","multi_stakeholder","[""follow_up_sms"", ""retarget_ads"", ""send_case_study"", ""offer_trial"", ""pause_sequence""]","0.801","best when lead score >70"
"EPI00225","churn_risk","[""follow_up_sms"", ""send_case_study""]","0.489","worked well for APAC SMBs"
"EPI00226","budget_blocker","[""retarget_ads"", ""escalate_manager"", ""offer_trial"", ""send_case_study"", ""pause_sequence""]","0.536","requires security one-pager"
"EPI00227","enterprise_eval","[""follow_up_sms"", ""retarget_ads"", ""offer_trial"", ""send_case_study""]","0.888","best when lead score >70"
"EPI00228","churn_risk","[""follow_up_sms"", ""escalate_manager"", ""offer_trial"", ""pause_sequence"", ""retarget_ads""]","0.468","requires security one-pager"
"EPI00229","churn_risk","[""send_case_study"", ""book_demo"", ""pause_sequence""]","0.92","great for re-engagement"
"EPI00230","security_review","[""offer_trial"", ""pause_sequence"", ""book_demo"", ""follow_up_sms""]","0.888","great for re-engagement"
"EPI00231","budget_blocker","[""send_case_study"", ""retarget_ads""]","0.132","requires security one-pager"
"EPI00232","churn_risk","[""book_demo"", ""follow_up_sms"", ""escalate_manager""]","0.036","great for re-engagement"
"EPI00233","churn_risk","[""follow_up_sms"", ""send_case_study""]","0.864","great for re-engagement"
"EPI00234","churn_risk","[""send_case_study"", ""escalate_manager"", ""follow_up_sms"", ""book_demo""]","0.525","great for re-engagement"
"EPI00235","smb_quick_win","[""retarget_ads"", ""send_case_study"", ""escalate_manager"", ""pause_sequence""]","0.91","great for re-engagement"
"EPI00236","budget_blocker","[""book_demo"", ""send_case_study""]","0.204","worked well for APAC SMBs"
"EPI00237","budget_blocker","[""send_case_study"", ""offer_trial"", ""pause_sequence"", ""follow_up_sms"", ""escalate_manager""]","0.062","worked well for APAC SMBs"
"EPI00238","churn_risk","[""offer_trial"", ""send_case_study""]","0.484","worked well for APAC SMBs"
"EPI00239","enterprise_eval","[""book_demo"", ""retarget_ads""]","0.281","requires security one-pager"
"EPI00240","enterprise_eval","[""pause_sequence"", ""escalate_manager"", ""send_case_study"", ""retarget_ads"", ""follow_up_sms""]","0.589","requires security one-pager"
"EPI00241","smb_quick_win","[""book_demo"", ""send_case_study"", ""retarget_ads"", ""offer_trial"", ""escalate_manager""]","0.206","requires security one-pager"
"EPI00242","multi_stakeholder","[""escalate_manager"", ""pause_sequence"", ""book_demo""]","0.45","worked well for APAC SMBs"
"EPI00243","security_review","[""send_case_study"", ""offer_trial"", ""pause_sequence"", ""retarget_ads"", ""escalate_manager""]","0.491","great for re-engagement"
"EPI00244","budget_blocker","[""offer_trial"", ""book_demo""]","0.971","requires security one-pager"
"EPI00245","smb_quick_win","[""follow_up_sms"", ""offer_trial""]","0.966","great for re-engagement"
"EPI00246","security_review","[""retarget_ads"", ""escalate_manager"", ""follow_up_sms"", ""book_demo""]","0.128","great for re-engagement"
"EPI00247","security_review","[""follow_up_sms"", ""offer_trial"", ""book_demo""]","0.793","requires security one-pager"
"EPI00248","smb_quick_win","[""pause_sequence"", ""retarget_ads"", ""escalate_manager"", ""follow_up_sms"", ""offer_trial""]","0.22","worked well for APAC SMBs"
"EPI00249","enterprise_eval","[""book_demo"", ""offer_trial""]","0.404","requires security one-pager"
"EPI00250","smb_quick_win","[""send_case_study"", ""escalate_manager""]","0.302","best when lead score >70"
